"Computer","OS","Remedied","Before(GB)","After(GB)","Required(GB)"
"AUSPWARBEMSVC03","W2K16","NO","12.97","12.97","3"
"P60VMESUPUI12","W2K16","NO","12.97","12.97","3"
"P70VMDBSNPCRO02","W2K16","NO","12.97","12.97","3"
"AUSPWICSPROD03","W2K16","NO","14.77","14.77","1"
"RPAPWP1NRDSH127","W2K16","NO","12.4","12.4","3"
"P70VMDBSNPAS01","W2K16","NR","15.3","15.3",""
"P60VMSTPNAAPIL1","W2K16","NO","13.18","13.18","2"
"RPAPWS3PRDSH17","W2K16","NO","13.41","13.41","2"
"AUSPWGDMWEB02","W2K16","NR","15.03","15.03",""
"P70VMDBSNPERO04","W2K16","NR","15.03","15.03",""
"RPAPWP1PRDSH163","W2K16","NO","12.12","12.12","3"
"RPAPWP1NRDSH158","W2K16","NO","12.46","12.46","3"
"RPAPWP1PRDSH161","W2K16","NO","12.26","12.26","3"
"AUSPWRPAAPMD01","W2K16","NR","15.11","15.11",""
"RPAPWS3PRDSH172","W2K16","NR","15.62","15.62",""
"RPAPWP1PRDSH159","W2K16","NO","8.32","8.32","7"
"P70VMDBPCI03","W2K16","NR","15.9","15.9",""
"P61VMESUPSVC04","W2K16","NO","13.09","13.09","2"
"AUSPWFACMON8","W2K16","NO","13.18","13.18","2"
"AUSPWEUDCDB04","W2K16","NR","15.86","15.86",""
"RPAPWS3NRDSH164","W2K16","NO","13.67","13.67","2"
"AUSPWSTPEMVWDB4","W2K16","NO","13.13","13.13","2"
"AUSPWSTPNAVWDB1","W2K16","NR","17.3","17.3",""
"RPAPWP1NRDSH120","W2K16","NO","10.99","10.99","5"
"MOMPWNPRP02","W2K16","NO","13.15","13.15","2"
"RPAPWS3NRDSH102","W2K16","NO","13.24","13.24","2"
"P20VMESUPUI14","W2K16","NO","13.38","13.38","2"
"RPAPWS3NRDSH197","W2K16","NO","13.08","13.08","2"
"AUSPWINGAPP04","W2K16","NO","14.69","14.69","1"
"AUSPWRBTXSTN08","W2K16","NO","13.41","13.41","2"
"RPAPWS3PRDSH110","W2K16","NO","13.91","13.91","2"
"AUSPWGRCTOLAP05","W2K16","NO","13.18","13.19","2"
"AUSPWAMCFG01","W2K16","NO","13.5","13.5","2"
"RPAPWP1PRDSH182","W2K16","NO","12.37","12.37","3"
"MOMPWGW202","UTC","UTC","UTC","UTC",""
"P21VMBUYNAAPI04","UTC","UTC","UTC","UTC",""
"P80VMDBSNPERO01","W2K16","NR","15.28","15.28",""
"P70VMDBSNPUE02","W2K16","NO","13.92","13.92","2"
"RPAPWS3NRDSH120","W2K16","NO","13.32","13.32","2"
"RPAPWP1NRDSH145","W2K16","NO","10.54","10.54","5"
"AUSPWAUTO01","W2K16","NO","13.06","13.06","2"
"AUSPWDICERPTDB1","W2K16","NO","13.98","13.98","2"
"RPAPWS3NRDSH125","W2K16","NO","13.36","13.36","2"
"RPAPWS3NRDSH151","W2K16","NO","13.41","13.41","2"
"AUSPWOLPEMCFB02","W2K16","NO","13.39","13.39","2"
"RPAPWS3PRDSH111","W2K16","NO","13.62","13.62","2"
"AUSPWCCPM02","W2K16","NO","13.46","13.46","2"
"RPAPWS3NRDSH185","W2K16","NO","12.9","12.9","3"
"P60VMESUPSVC01","W2K16","NO","13.65","13.65","2"
"AUSPWSTPEMSWDB2","W2K16","NR","16.2","16.2",""
"RPAPWS3PRDSH120","W2K16","NO","13.41","13.41","2"
"RPAPWP1NRDSH112","W2K16","NR","16.31","16.31",""
"RPAPWP1NRDSH123","W2K16","NO","11.46","11.46","4"
"RPAPWS3PRDSH146","W2K16","NO","13.59","13.59","2"
"AUSPWARBEMSVC05","W2K16","NO","13.71","13.71","2"
"MOMPWGW203","UTC","UTC","UTC","UTC",""
"AUSPWAIAPP01","W2K16","NO","13.91","13.91","2"
"RPAPWS3PRDSH161","W2K16","NO","13.31","13.31","2"
"RPAPWP1NRDSH189","W2K16","NO","12.93","12.93","3"
"AUSFWINGAPP09","W2K16","NO","13.73","13.73","2"
"P60VMESUPUI08","W2K16","NO","13.51","13.51","2"
"AUSPWEUDMSVC09","W2K16","NO","13.48","13.48","2"
"RPAPWS3PRDSH206","W2K16","NO","14.12","14.12","1"
"RPAPWS3PRDSH143","W2K16","NO","13.51","13.51","2"
"RPAPWS3NRDSH176","W2K16","NO","13.31","13.31","2"
