Computer,OS,Remedied,Before(GB),After(GB),Required(GB)
WEB7441,W2K16,YES,13.67,15.19,
WEB6496,W2K16,YES,13.77,16.52,
WEB9529,W2K16,YES,13.89,15.46,
WEB6718,W2K16,YES,13.72,15.37,
WEB1817,W2K16,NO,12.97,12.97,3
WEB3962,W2K16,NO,12.97,12.97,3
WEB3778,W2K16,YES,13.13,15.01,
WEB6163,W2K16,YES,14.46,16.27,
WEB8894,W2K16,NR,15.3,15.3,
WEB8326,W2K16,NR,15.03,15.03,
WEB1774,W2K16,NR,15.03,15.03,
WEB9549,W2K16,NR,15.11,15.11,
WEB6723,W2K16,NO,12.97,12.97,3
WEB6599,W2K16,NO,14.77,14.77,1
WEB1164,W2K16,NR,15.62,15.62,
WEB1769,UTC,UTC,UTC,UTC,
WEB7673,UTC,UTC,UTC,UTC,
WEB9362,W2K16,YES,14,15.58,
